КодОЗ,Кол-во коек,Врачи,Средний медперсонал
8070,,,
8071,,,
8072,,,
8073,,,
8074,,,
8075,,,
8076,,,
8077,,,
8078,,,
8079,,,
8080,,,
8081,,,
8082,,,
8083,,,
8084,,,
8085,,,
8086,,,
8087,,,
8088,,,
8089,,,
8090,,,
8091,,,
8092,,,
8093,,,
8094,,,
8095,,,
8096,,,
8097,,,
8098,,,
8099,,,
8100,,,
8101,,,
8102,,,
8103,,,
8105,,,
8106,,,
8107,,,
8108,,,
8109,,,
8110,,,
8111,,,
8112,,,
8113,,,
8114,,,
8115,,,
8116,,,
8117,,,
8118,,,
8119,,,
8120,,,
8121,,,
8122,,,
8123,,,
8124,,,
8125,,,
8126,,,
8127,,,
8128,,,
8129,,,
8130,,,
8131,,,
8132,,,
8133,,,
8134,,,
8135,,,
8136,,,
8137,,,
8138,,,
8139,,,
8140,,,
8141,,,
8142,,,
8143,,,
8144,,,
8146,,,
8148,,,
8149,,,
8150,,,
8151,,,
8152,,,
8153,,,
8154,,,
8155,,,
8156,,,
8157,,,
8158,,,
8159,,,
8160,,,
8161,,,
8162,,,
8163,,,
8164,,,
8165,,,
8166,,,
8167,,,
8168,,,
8169,,,
8170,,,
8171,,,
8172,,,
8173,,,
8174,,,
8176,,,
8177,,,
8178,,,
8179,,,
8180,,,
8181,,,
8182,,,
8183,,,
8185,,,
8186,,,
8187,,,
8188,,,
8189,,,
8190,,,
8191,,,
8192,,,
8193,,,
8194,,,
8195,,,
8196,,,
8197,,,
8198,,,
8200,,,
8201,,,
8202,,,
8203,,,
8204,,,
8205,,,
8206,,,
8207,,,
8208,,,
8209,,,
8210,,,
8211,,,
8212,,,
8213,,,
8214,,,
8215,,,
8216,,,
8217,,,
8218,,,
8219,,,
8220,,,
8221,,,
8222,,,
8223,,,
8224,,,
8225,,,
8226,,,
8227,,,
8228,,,
8229,,,
8230,,,
8231,,,
8232,,,
8233,,,
8234,,,
8235,,,
8236,,,
8237,,,
8238,,,
8239,,,
8240,,,
8241,,,
8242,,,
8243,,,
8244,,,
8245,,,
8246,,,
8247,,,
8248,,,
8249,,,
8250,,,
8251,,,
8252,,,
8253,,,
8254,,,
8255,,,
8256,,,
8257,,,
8258,,,
8259,,,
8260,,,
8261,,,
8262,,,
8263,,,
8264,,,
8265,,,
8266,,,
8267,,,
8268,,,
8269,,,
8271,,,
8272,,,
8273,,,
8274,,,
8275,,,
8277,225,63,138
8278,,,
8279,400,22,93
8280,,,
8281,,,
8282,15,2,6
8283,100,20,50
8284,,,
8285,,,
8286,330,85,232
8287,,,
8288,,,
8289,,,
8291,0,113,199
8292,,,
8293,,,
8294,,,
8310,,,
8312,0,117,180
8320,40,3,14
8323,0,228,463
8329,30,5,16
8332,85,19,62
8337,10,1,7
8354,0,66,103
8355,140,43,96
8360,0,51,82
8368,0,136,279
8371,60,7,17
8376,200,109,214
8386,,,
8387,,,
8388,,,
8389,,,
8390,,,
8392,,,
8393,,,
8394,,,
8395,50,12,27
8396,,,
8398,,,
8399,,,
8400,,,
8401,,,
8402,,,
8403,,,
8430,310,41,154
8432,,,
8438,,,
8439,,,
8440,,,
8441,,,
8459,0,55,102
8493,,,
8494,,,
8495,,,
8498,,,
8500,,,
8502,,,
8503,,,
8504,,,
8505,,,
8506,,,
8507,,,
8544,185,63,144
8546,91,32,64
8550,171,58,116
8553,,,
8555,170,34,61
9000,846,309,671
9001,,,
9002,,,
9004,,,
9005,,,
9007,,,
9008,,,
9009,,,
9010,,,
9011,,,
9012,,,
9013,,,
9015,,,
9016,70,11,18
9017,,,
9019,,,
9020,952,292,658
9021,80,17,34
9022,,,
9023,200,42,76
9024,,,
9025,,,
9026,,,
9027,110,10,40
9029,,,
9030,540,152,342
9032,,,
9033,50,24,25
9034,100,25,49
9035,,,
9036,,,
9037,,,
9039,,,
9040,,,
9041,,,
9042,,,
9057,,,
9059,,,
9061,,,
9062,,,
9067,,,
9104,170,32,84
9479,,,
9483,,,
9489,,,
9495,,,
9499,,,
9503,,,
9506,,,
9509,,,
9513,,,
9517,,,
9520,,,
9524,,,
9788,60,17,38
9829,0,211,341
