Код ОЗ,Краткое название ОЗ,Полное название ОЗ ,Адрес ОЗ
1290,ГОРОДСКАЯ ПРОТИВОТУББОЛЬНИЦА,ГОРОДСКАЯ ПРОТИВОТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА,'г.Бишкек (Свердл. р-н), 720015, ул. Элебесова, 211'
1293,РОДДОМ №1,РОДИЛЬНЫЙ ДОМ №1,'г.Бишкек (Свердл. р-н), 720001, ул. Московская, 82'
1294,РДЦ,РЕСПУБЛИКАНСКИЙ ДИАГНОСТИЧЕСКИЙ ЦЕНТР,'г.Бишкек (Перв. р-н), 720021, ул. Киевская, 27'
1297,СТОМПОЛИКЛИНИКА №2,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №2,'г.Бишкек (Лен. р-н), 720001, ул. Киевская, 165'
1298,КЛИНИЧЕСКИЙ  РОДДОМ №2,КЛИНИЧЕСКИЙ РОДИЛЬНЫЙ ДОМ №2,'г.Бишкек (Лен. р-н), 720010, ул. Московская, 225'
1299,НАЦИОНАЛЬНЫЙ ХИРУРГИЧЕСКИЙ ЦЕНТР,НАЦИОНАЛЬНЫЙ ХИРУРГИЧЕСКИЙ ЦЕНТР,'г.Бишкек (Лен. р-н), 720044, ул. 3-линия, 25'
1300,РЦ  НАРКОЛОГИИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР НАРКОЛОГИИ,'г.Бишкек (Окт. р-н), ул. Суеркулова, 1'
1303,ГОРОД  ДЕТ.ЦЕНТР  ПРОФ И РЕБ.ТУБЕРКУЛЕЗА,ГОРОДСКОЙ  ДЕТСКИЙ  ЦЕНТР ПРОФИЛАКТИКИ И РЕАБИЛИТАЦИИ ТУБЕРКУЛЕЗА,'г.Бишкек (Окт. р-н), 720026, мкр. №7, 5/1'
1304,ГКБ №6,ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №6,'г.Бишкек (Окт. р-н), 720005, ул. Джантошева, 117'
1305,ГОР. ДЕТСК. КЛИНИЧ. БОЛЬНИЦА СКОРОЙ ПОМ.,ГОРОДСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ,'г.Бишкек (Окт. р-н), 720020, ул. Байтик Баатыра, 8а'
1307,СТОМПОЛИКЛИНИКА №3,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №3,'г.Бишкек (Перв. р-н), 720055, ул. Ахунбаева, 125'
1309,НЦ ФТИЗИАТРИИ,НАЦИОНАЛЬНЫЙ ЦЕНТР ФТИЗИАТРИИ,'г.Бишкек (Окт. р-н), 720020, ул. Ахунбаева, 90а'
1310,НЦ ОНКОЛОГИИ И ГЕМАТОЛОГИИ ПРИ  МЗ КР,НАЦИОНАЛЬНЫЙ ЦЕНТР ОНКОЛОГИИ И ГЕМАТОЛОГИИ ПРИ МИНИСТЕРСТВЕ ЗДРАВООХРАНЕНИЯ КР,'г.Бишкек (Окт. р-н), 720064, ул. Ахунбаева, 92'
1311,КНЦ РЕПРОДУКЦИИ ЧЕЛОВЕКА,КЫРГЫЗСКИЙ НАУЧНЫЙ ЦЕНТР РЕПРОДУКЦИИ ЧЕЛОВЕКА,'г.Бишкек (Окт. р-н), 720028, мкр. №7, 14/1'
1314,РЦ ДЕРМАТОВЕНЕРОЛОГИИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР ДЕРМАТОВЕНЕРОЛОГИИ,'г.Бишкек (Перв. р-н), ул. Льва Толстого, 70'
1315,РЦ  ПСИХИЧЕСКОГО ЗДОРОВЬЯ,РЕСПУБЛИКАНСКИЙ ЦЕНТР ПСИХИЧЕСКОГО ЗДОРОВЬЯ,'г.Бишкек (Окт. р-н), 720075, ул. Байтик Баатыра, 1'
1318,ГОРОДСКОЙ ПЕРИНАТАЛЬНЫЙ ЦЕНТР,ГОРОДСКОЙ  ПЕРИНАТАЛЬНЫЙ ЦЕНТР,'г.Бишкек (Окт. р-н), 720025, ул. Суеркулова, 1/1'
1320,ГОР. ЦЕНТР МЕДИКО-КОНСУЛЬТАТ УСЛУГ И СПМ,ГОРОДСКОЙ ЦЕНТР МЕДИКО-КОНСУЛЬТАТИВНЫХ УСЛУГ И СПОРТИВНОЙ МЕДИЦИНЫ,'г.Бишкек (Окт. р-н), 720017, ул. Манаса, 41'
1321,ЭНДОКРИНОЛОГИЧЕСКИЙ ЦЕНТР ПРИ МЗ КР,ЭНДОКРИНОЛОГИЧЕСКИЙ ЦЕНТР ПРИ МИНИСТЕРСТВЕ ЗДРАВООХРАНЕНИЯ  КЫРГЫЗСКОЙ РЕСПУБЛИКИ,'г.Бишкек (Перв. р-н), 720000, ул. Панфилова, 199'
1322,ПОЛИКЛИНИКА СТУДЕНТОВ,ПОЛИКЛИНИКА СТУДЕНТОВ,'г.Бишкек (Перв. р-н), 720001, ул. Рыскулова, 8'
1324,СТОМПОЛИКЛИНИКА №6,СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №6,'г.Бишкек (Перв. р-н), 720000, ул. Тыныстанова, 171'
1325,ГОРОДСКАЯ ГИНЕКОЛОГИЧЕСКАЯ БОЛЬНИЦА,ГОРОДСКАЯ ГИНЕКОЛОГИЧЕСКАЯ БОЛЬНИЦА,'г.Бишкек (Перв. р-н), 720001, ул. Логвиненко, 30'
1328,НЦК и Т им. М.МИРРАХИМОВА при  МЗ КР,НАЦИОНАЛЬНЫЙ ЦЕНТР КАРДИОЛОГИИ И ТЕРАПИИ ИМЕНИ АКАДЕМИКА МИРСАИДА МИРРАХИМОВА ПРИ МЗ КР,'г.Бишкек (Перв. р-н), 720040, ул. Тоголок Молдо, 3'
1329,НАЦ. ГОСПИТАЛЬ,НАЦИОНАЛЬНЫЙ  ГОСПИТАЛЬ,'г.Бишкек (Перв. р-н), 720040, ул. Тоголок Молдо, 1'
1331,РЕСП. КЛИНИЧ. ИНФЕКЦИОННАЯ БОЛЬНИЦА,РЕСПУБЛИКАНСКАЯ КЛИНИЧЕСКАЯ ИНФЕКЦИОННАЯ БОЛЬНИЦА,'г.Бишкек (Перв. р-н), 720035, ул. Льва Толстого, 70'
1332,РЦ ИММУНОПРОФИЛАКТИКИ,РЕСПУБЛИКАНСКИЙ ЦЕНТР ИММУНОПРОФИЛАКТИКИ,'г.Бишкек (Перв. р-н), 720033, ул. Фрунзе, 535'
1333,РЕСПУБЛИКАНСКИЙ ЦЕНТР  "СПИД" МЗ КР,РЕСПУБЛИКАНСКИЙ ЦЕНТР "СПИД" МЗ КР,'г.Бишкек (Перв. р-н), 720040, ул. Логвиненко, 8'
1335,ДЕПАРТАМЕНТ ПРОФ.ЗАБОЛ ГОССАНЭПИДНАДЗОРА,ДЕПАРТАМЕНТ ПРОФИЛАКТИКИ ЗАБОЛЕВАНИЙ И ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА,'г.Бишкек (Перв. р-н), 720033, ул. Фрунзе, 535'
1337,КГМИПИПК им. С.Б.ДАНИЯРОВА,КЫРГЫЗСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ ИНСТИТУТ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ им. САНЖАРА БАКИРОВИЧА ДАНИЯРОВА,'г.Бишкек (Перв. р-н), 720040, ул. Боконбаева, 144а'
